"Variable","N","Mean","SD","N","Mean","SD","Test"
"category_abs","brown","","","neutral","","",""
"EF952","4","114.236","26.724","408","110.132","31.089","F=0.069"
"EF46","4","","","408","","","X2=1.812"
"... Male","0","0%","","189","46.3%","",""
"... Female","4","100%","","219","53.7%","",""
"EF44","4","46.25","12.285","408","44.348","13.898","F=0.074"
"EF44_bin10","4","","","408","","","X2=5.151"
"... [0,10]","0","0%","","0","0%","",""
"... (10,20]","0","0%","","16","3.9%","",""
"... (20,30]","0","0%","","71","17.4%","",""
"... (30,40]","2","50%","","71","17.4%","",""
"... (40,50]","1","25%","","96","23.5%","",""
"... (50,60]","0","0%","","109","26.7%","",""
"... (60,70]","1","25%","","42","10.3%","",""
"... (70,80]","0","0%","","0","0%","",""
"... (80,90]","0","0%","","3","0.7%","",""
"EF517","4","","","408","","","X2=3.704"
"... ISCED-Level 1 - PE","0","0%","","11","2.7%","",""
"... ISCED-Level 2 - LSGE","0","0%","","39","9.6%","",""
"... ISCED-Level 3 - USGE","0","0%","","27","6.6%","",""
"... ISCED-Level 3 - USVE","3","75%","","150","36.8%","",""
"... ISCED-Level 4 - PSNTVE","0","0%","","61","15%","",""
"... ISCED-Level 5 - SCTVE","0","0%","","2","0.5%","",""
"... ISCED-Level 6 - Bachelor","1","25%","","63","15.4%","",""
"... ISCED-Level 6 - Master","0","0%","","55","13.5%","",""
"EF540","4","","","408","","","X2=2.966"
"... ISCED 1 ECE (000)","0","0%","","0","0%","",""
"... ISCED 1 PE (100)","0","0%","","11","2.7%","",""
"... ISCED 2 LSE (200)","0","0%","","39","9.6%","",""
"... ISCED 3 USE (300)","0","0%","","0","0%","",""
"... ISCED 3 USE (302)","0","0%","","0","0%","",""
"... ISCED 3 USE (303)","0","0%","","6","1.5%","",""
"... ISCED 3 USE (304)","3","75%","","171","41.9%","",""
"... ISCED 4 PSNTE (400)","0","0%","","61","15%","",""
"... ISCED 5 SCTE (500)","0","0%","","2","0.5%","",""
"... ISCED 6 Bachelor (600)","1","25%","","63","15.4%","",""
"... ISCED 7 Master (700)","0","0%","","53","13%","",""
"... ISCED 8 Doctoral (800)","0","0%","","2","0.5%","",""
"EF436","4","","","405","","","X2=11.787"
"... < 150","0","0%","","0","0%","",""
"... 150 to < 300","0","0%","","1","0.2%","",""
"... 300 to < 500","0","0%","","20","4.9%","",""
"... 500 to < 700","0","0%","","0","0%","",""
"... 700 to < 900","0","0%","","24","5.9%","",""
"... 900 to < 1,100","0","0%","","25","6.2%","",""
"... 1,100 to < 1,300","2","50%","","66","16.3%","",""
"... 1,300 to < 1,500","0","0%","","19","4.7%","",""
"... 1,500 to < 1,700","0","0%","","0","0%","",""
"... 1,700 to < 2,000","0","0%","","31","7.7%","",""
"... 2,000 to < 2,300","0","0%","","92","22.7%","",""
"... 2,300 to < 2,600","1","25%","","35","8.6%","",""
"... 2,600 to < 2,900","0","0%","","22","5.4%","",""
"... 2,900 to < 3,200","1","25%","","14","3.5%","",""
"... 3,200 to < 3,600","0","0%","","20","4.9%","",""
"... 3,600 to < 4,000","0","0%","","8","2%","",""
"... 4,000 to < 4,500","0","0%","","9","2.2%","",""
"... 4,500 to < 5,000","0","0%","","4","1%","",""
"... 5,000 to < 5,500","0","0%","","1","0.2%","",""
"... 5,500 to < 6,000","0","0%","","4","1%","",""
"... 6,000 to < 7,500","0","0%","","6","1.5%","",""
"... 7,500 to < 10,000","0","0%","","2","0.5%","",""
"... 10,000 to < 18,000","0","0%","","1","0.2%","",""
"... > 18,000","0","0%","","0","0%","",""
"... Farmer (self-employed, main job)","0","0%","","1","0.2%","",""
"EF436_num","4","1975","927.811","404","2124.319","1384.652","F=0.046"
"EF442","4","","","367","","","X2=13.499"
"... < 150","0","0%","","1","0.3%","",""
"... 150 to < 300","0","0%","","1","0.3%","",""
"... 300 to < 500","0","0%","","24","6.5%","",""
"... 500 to < 700","0","0%","","16","4.4%","",""
"... 700 to < 900","0","0%","","22","6%","",""
"... 900 to < 1,100","0","0%","","17","4.6%","",""
"... 1,100 to < 1,300","0","0%","","28","7.6%","",""
"... 1,300 to < 1,500","0","0%","","25","6.8%","",""
"... 1,500 to < 1,700","0","0%","","36","9.8%","",""
"... 1,700 to < 2,000","2","50%","","43","11.7%","",""
"... 2,000 to < 2,300","0","0%","","47","12.8%","",""
"... 2,300 to < 2,600","1","25%","","27","7.4%","",""
"... 2,600 to < 2,900","0","0%","","20","5.4%","",""
"... 2,900 to < 3,200","1","25%","","15","4.1%","",""
"... 3,200 to < 3,600","0","0%","","17","4.6%","",""
"... 3,600 to < 4,000","0","0%","","6","1.6%","",""
"... 4,000 to < 4,500","0","0%","","7","1.9%","",""
"... 4,500 to < 5,000","0","0%","","2","0.5%","",""
"... 5,000 to < 5,500","0","0%","","3","0.8%","",""
"... 5,500 to < 6,000","0","0%","","2","0.5%","",""
"... 6,000 to < 7,500","0","0%","","6","1.6%","",""
"... 7,500 to < 10,000","0","0%","","1","0.3%","",""
"... 10,000 to < 18,000","0","0%","","1","0.3%","",""
"... > 18,000","0","0%","","0","0%","",""
"EF442_num","4","2300","574.456","367","2011.512","1386.938","F=0.172"
"EF114UG4","4","","","408","","","X2=12.602**"
"... Occupations in agriculture, forestry, farming, and gardening","0","0%","","10","2.5%","",""
"... Occupations in production of raw materials and goods, and manufacturing","0","0%","","0","0%","",""
"... Occupations in construction, architecture, surveying and technical building services","4","100%","","96","23.5%","",""
"... Occupations in natural sciences, geography and informatics","0","0%","","0","0%","",""
"... Occupations in traffic, logistics, safety and security","0","0%","","81","19.9%","",""
"... Occupations in commercial services, trading, sales, the hotel business and tourism","0","0%","","0","0%","",""
"... Occupations in business organisation, accounting, law and administration","0","0%","","144","35.3%","",""
"... Occupations in health care, the social sector, teaching and education","0","0%","","0","0%","",""
