EF541,n_obs,EF952_sum,share_green_wtd,share_brown_wtd,share_neutral_wtd,share_green_unwtd,share_brown_unwtd,share_neutral_unwtd
1222,14,1588.3519999999999,0,0,1,0,0,1
1439,1,82.465,0,0.11111111111111112,0.888888888888889,0,0.1111111111111111,0.8888888888888888
2222,27,2761.748,0,0,1,0,0,1
2434,40,4484.994,0,0.008724921866611689,0.9912750781333883,0,0.008333333333333333,0.9916666666666667
3155,36,3993.709,0,0.03866723055351972,0.9613327694464803,0,0.037037037037037035,0.9629629629629629
3259,21,2463.303,0,0,1,0,0,1
3522,45,4989.897,0,0.0019646364109987308,0.9980353635890012,0,0.0024691358024691358,0.9975308641975309
4419,57,5881.541,0,0.024141688943991605,0.9758583110560084,0,0.025341130604288498,0.9746588693957114
5222,25,2865.903,0,0,1,0,0,1
6130,36,3784.124,0,0,1,0,0,1
7212,15,1951.162,0,0,1,0,0,1
7549,36,3842.31,0,0,1,0,0,1
8183,4,372.529,0,0,1,0,0,1
8350,19,2170.971,0,0.08044843630901666,0.9195515636909833,0,0.08187134502923976,0.9181286549707602
9329,21,2427.473,0,0.0027543961239619233,0.9972456038760381,0,0.005291005291005291,0.9947089947089947
9629,15,1730.204,0,0.06010884008796394,0.9398911599120361,0,0.059259259259259255,0.9407407407407408
